year,month,rows,NOPD_Item_nonmissing_rate,Type_nonmissing_rate,TypeText_nonmissing_rate,Priority_nonmissing_rate,InitialType_nonmissing_rate,InitialTypeText_nonmissing_rate,InitialPriority_nonmissing_rate,TimeCreate_nonmissing_rate,TimeDispatch_nonmissing_rate,TimeArrive_nonmissing_rate,TimeClosed_nonmissing_rate,Disposition_nonmissing_rate,DispositionText_nonmissing_rate,SelfInitiated_nonmissing_rate,Beat_nonmissing_rate,PoliceDistrict_nonmissing_rate,dispatch_before_create_count,arrive_before_create_count,closed_before_create_count,arrive_before_dispatch_count,closed_before_dispatch_count,closed_before_arrive_count,arrival_without_dispatch_count,closed_without_arrival_count
2025,2025-01,25508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4118315822487063,0.8424415869531128,1.0,1.0,1.0,1.0,1.0,1.0,0,0,3,72,0,0,12115,4019
2025,2025-02,24599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41887881621204115,0.8352372047644213,1.0,1.0,1.0,1.0,1.0,1.0,0,0,7,95,0,0,11302,4053
2025,2025-03,27813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42605975622910147,0.8318412253262862,1.0,1.0,1.0,1.0,1.0,1.0,0,0,11,86,0,0,12671,4677
2025,2025-04,26757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43954852935680383,0.8436670777740405,1.0,1.0,1.0,1.0,1.0,1.0,0,0,6,66,0,0,12104,4183
2025,2025-05,28177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43681016431841574,0.8443056393512439,1.0,1.0,1.0,1.0,1.0,1.0,0,0,7,102,0,0,12755,4387
2025,2025-06,26794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.431887736060312,0.8447413600059714,1.0,1.0,1.0,1.0,1.0,1.0,0,0,9,105,0,0,12333,4160
2025,2025-07,29016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4068444995864351,0.8517714364488558,1.0,1.0,1.0,1.0,1.0,1.0,0,0,31,100,0,0,14167,4301
2025,2025-08,30420,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38990795529257066,0.8460552268244576,1.0,1.0,1.0,1.0,1.0,1.0,0,0,38,113,0,0,15102,4683
2025,2025-09,28237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40096327513546054,0.8365265431880157,1.0,1.0,1.0,1.0,1.0,1.0,0,0,72,89,0,0,13425,4616
2025,2025-10,28786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4056138400611408,0.8146668519419162,1.0,1.0,1.0,1.0,1.0,1.0,0,0,28,67,0,0,12969,5335
2025,2025-11,26733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4283843938203718,0.8217184752927094,1.0,1.0,1.0,1.0,1.0,1.0,4,3,67,76,3,7,11630,4766
2025,2025-12,26930,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42380245079836615,0.8326401782398811,1.0,1.0,1.0,1.0,1.0,1.0,0,0,13,78,0,0,12128,4507
2026,2026-01,28117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40825834904150515,0.8346907564818438,1.0,1.0,1.0,1.0,1.0,1.0,0,0,6,99,0,0,13074,4648
2026,2026-02,26450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44090737240075617,0.8228355387523629,1.0,1.0,1.0,1.0,1.0,1.0,0,0,3,69,0,0,11274,4686
2026,2026-03,28398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4244312979787309,0.8413268540038031,1.0,1.0,1.0,1.0,1.0,1.0,0,0,6,79,0,0,13092,4506
2026,2026-04,28876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4237775315140601,0.834291453109849,1.0,1.0,1.0,1.0,1.0,1.0,0,0,18,98,0,0,13050,4785
2026,2026-05,29382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4284936355591859,0.838268327547478,1.0,1.0,1.0,1.0,1.0,1.0,0,0,2,88,0,0,13339,4752
2026,2026-06,28360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41117771509167844,0.8531029619181947,1.0,1.0,1.0,1.0,1.0,1.0,0,0,6,106,0,0,13759,4166
2026,2026-07,30372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4058672461477677,0.8546029237455551,1.0,1.0,1.0,1.0,1.0,1.0,0,0,20,95,0,0,14917,4416
2026,2026-08,9874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3907231112011343,0.8673283370467896,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,42,0,0,5068,1310
